customer_id,name,email,signup_date,city,country,age,gender,recency_days,frequency,monetary,avg_order_value,has_purchased,R_score,F_score,M_score,segment,purchase_freq_per_year,tenure_years,predicted_cltv
1,Allison Hill,donaldgarcia@example.net,2019-08-17,Sydney,Australia,63.0,M,373.0,2,1731.76,865.88,1,2,2,3,Needs Attention,0.6677330895795247,5.374401095140315,1517.39
2,Angie Henderson,davisjesse@example.net,2023-02-25,Sydney,Australia,21.0,F,80.0,2,2567.68,1283.84,1,5,2,4,New/Promising,0.6677330895795247,1.8480492813141685,773.63
3,Cristian Santos,lrobinson@example.com,2021-10-31,Toronto,Canada,17.0,M,280.0,6,12657.74,2109.62,1,3,5,5,Loyal Customers,2.003199268738574,3.167693360711841,6536.98
5,Gabrielle Davis,howardmaurice@example.com,2022-11-30,Chicago,USA,37.0,M,73.0,1,2723.52,2723.52,1,5,1,4,New/Promising,0.33386654478976235,2.086242299794661,926.35
7,Shannon Ray,williamsjeremy@example.com,2023-02-03,New York,USA,50.0,F,154.0,1,1670.38,1670.38,1,4,1,3,New/Promising,0.33386654478976235,1.9082819986310746,519.68
8,Dr. Sharon James,xreid@example.org,2023-08-26,Vancouver,Canada,55.0,F,280.0,2,1667.84,833.92,1,3,2,3,Needs Attention,0.6677330895795247,1.3497604380561259,367.02
9,Daniel Adams,lynchgeorge@example.net,2019-04-04,Los Angeles,USA,65.0,F,89.0,1,858.97,858.97,1,4,1,2,New/Promising,0.33386654478976235,5.7440109514031485,804.4
10,Joel Nelson,gabriellecameron@example.org,2021-02-17,Los Angeles,USA,45.0,F,80.0,1,1099.73,1099.73,1,5,1,2,New/Promising,0.33386654478976235,3.868583162217659,693.61
11,Andrew Stewart,carl95@example.org,2022-10-04,Toronto,Canada,60.0,M,132.0,2,659.46,329.73,1,4,2,2,New/Promising,0.6677330895795247,2.242299794661191,241.08
12,Jennifer Rocha,ithomas@example.org,2021-12-29,Chicago,USA,26.0,Other,385.0,3,3413.97,1137.99,1,2,4,4,At Risk (High Value),1.001599634369287,3.0061601642710474,1673.21
13,Kimberly Burgess,zhurst@example.com,2022-02-14,Melbourne,Australia,59.0,F,150.0,2,2800.43,1400.22,1,4,2,4,New/Promising,0.6677330895795247,2.8774811772758384,1313.76
14,Zachary Hicks,camposmichelle@example.org,2019-03-07,Mumbai,India,41.0,Other,586.0,1,2730.26,2730.26,1,2,1,4,Needs Attention,0.33386654478976235,5.820670773442847,2590.93
15,Rebecca Henderson,cruzcaitlin@example.com,2023-01-10,Bangkok,Thailand,29.0,M,69.0,4,4889.54,1222.38,1,5,5,5,Champions,1.3354661791590494,1.9739904175222451,1573.58
16,Tricia Valencia,frazierdanny@example.net,2019-10-20,Berlin,Germany,24.0,F,385.0,1,406.85,406.85,1,2,1,1,Hibernating/Lost,0.33386654478976235,5.19917864476386,344.86
17,Patricia Peterson,ryan70@example.net,2021-05-27,Paris,France,41.0,F,662.0,2,4663.43,2331.72,1,2,2,5,Needs Attention,0.6677330895795247,3.597535934291581,2735.2
18,Deborah Mason,williamrodriguez@example.net,2019-07-06,Berlin,Germany,71.0,M,122.0,5,7106.36,1421.27,1,4,5,5,Champions,1.6693327239488118,5.489390828199863,6359.88
19,Mark Lynch,nathanielmartin@example.net,2022-05-06,Manchester,UK,40.0,M,402.0,1,668.15,668.15,1,2,1,2,Hibernating/Lost,0.33386654478976235,2.6557152635181382,289.29
20,Linda Burns,hickmannatasha@example.com,2023-10-29,Munich,Germany,59.0,M,2.0,2,2447.23,1223.62,1,5,2,4,New/Promising,0.6677330895795247,1.1745379876796715,468.62
23,Lisa Brandt,jenniferross@example.net,2020-09-03,Sydney,Australia,48.0,M,173.0,2,922.89,461.44,1,4,2,2,New/Promising,0.6677330895795247,4.32580424366872,650.86
24,Jessica Holmes,wrightcaleb@example.org,2024-05-06,Munich,Germany,,F,6.0,1,182.25,182.25,1,5,1,1,New/Promising,0.33386654478976235,0.6543463381245722,19.44
25,Crystal Robinson,zimmermanbrian@example.org,2021-01-13,Bangkok,Thailand,,Other,34.0,2,3351.43,1675.72,1,5,2,4,New/Promising,0.6677330895795247,3.9644079397672827,2166.15
26,Shannon Jones,joshuawashington@example.net,2023-02-07,Los Angeles,USA,68.0,M,401.0,2,2098.0,1049.0,1,2,2,3,Needs Attention,0.6677330895795247,1.8973305954825461,648.97
